Date,Open,High,Low,Close,Adj Close,Volume
"Apr 4, 2025",193.89,199.88,187.34,188.38,188.38,"125,569,000"
"Apr 3, 2025",205.54,207.49,201.25,203.19,203.19,"103,419,000"
"Apr 2, 2025",221.32,225.19,221.02,223.89,223.89,"35,905,900"
"Apr 1, 2025",219.81,223.68,218.9,223.19,223.19,"36,412,700"
"Mar 31, 2025",217.01,225.62,216.23,222.13,222.13,"65,299,300"
"Mar 28, 2025",221.67,223.81,217.68,217.9,217.9,"39,818,600"
"Mar 27, 2025",221.39,224.99,220.56,223.85,223.85,"37,094,800"
"Mar 26, 2025",223.51,225.02,220.47,221.53,221.53,"34,466,100"
"Mar 25, 2025",220.77,224.1,220.08,223.75,223.75,"34,493,600"
"Mar 24, 2025",221,221.48,218.58,220.73,220.73,"44,299,500"
"Mar 21, 2025",211.56,218.84,211.28,218.27,218.27,"94,127,800"
"Mar 20, 2025",213.99,217.49,212.22,214.1,214.1,"48,862,900"
"Mar 19, 2025",214.22,218.76,213.75,215.24,215.24,"54,385,400"
"Mar 18, 2025",214.16,215.15,211.49,212.69,212.69,"42,432,400"
"Mar 17, 2025",213.31,215.22,209.97,214,214,"48,073,400"
"Mar 14, 2025",211.25,213.95,209.58,213.49,213.49,"60,107,600"
"Mar 13, 2025",215.95,216.84,208.42,209.68,209.68,"61,368,300"
"Mar 12, 2025",220.14,221.75,214.91,216.98,216.98,"62,547,500"
"Mar 11, 2025",223.81,225.84,217.45,220.84,220.84,"76,137,400"
"Mar 10, 2025",235.54,236.16,224.22,227.48,227.48,"72,071,200"
"Mar 7, 2025",235.11,241.37,234.76,239.07,239.07,"46,273,600"
"Mar 6, 2025",234.44,237.86,233.16,235.33,235.33,"45,170,400"
"Mar 5, 2025",235.42,236.55,229.23,235.74,235.74,"47,227,600"
"Mar 4, 2025",237.71,240.07,234.68,235.93,235.93,"53,798,100"
"Mar 3, 2025",241.79,244.03,236.11,238.03,238.03,"47,184,000"
"Feb 28, 2025",236.95,242.09,230.2,241.84,241.84,"56,833,400"
"Feb 27, 2025",239.41,242.46,237.06,237.3,237.3,"41,153,600"
"Feb 26, 2025",244.33,244.98,239.13,240.36,240.36,"44,433,600"
"Feb 25, 2025",248,250,244.91,247.04,247.04,"48,013,300"
"Feb 24, 2025",244.93,248.86,244.42,247.1,247.1,"51,326,400"
"Feb 21, 2025",245.95,248.69,245.22,245.55,245.55,"53,197,400"
"Feb 20, 2025",244.94,246.78,244.29,245.83,245.83,"32,316,900"
"Feb 19, 2025",244.66,246.01,243.16,244.87,244.87,"32,204,200"
"Feb 18, 2025",244.15,245.18,241.84,244.47,244.47,"48,822,500"
"Feb 14, 2025",241.25,245.55,240.99,244.6,244.6,"40,896,200"
"Feb 13, 2025",236.91,242.34,235.57,241.53,241.53,"53,614,100"
"Feb 12, 2025",231.2,236.96,230.68,236.87,236.87,"45,243,300"
"Feb 11, 2025",228.2,235.23,228.13,232.62,232.62,"53,718,400"
"Feb 10, 2025",229.57,230.59,227.2,227.65,227.65,"33,115,600"
"Feb 7, 2025",232.6,234,227.26,227.63,227.38,"39,707,200"
"Feb 6, 2025",231.29,233.8,230.43,233.22,232.96,"29,925,300"
"Feb 5, 2025",228.53,232.67,228.27,232.47,232.21,"39,620,300"
"Feb 4, 2025",227.25,233.13,226.65,232.8,232.54,"45,067,300"
